simulation: 1
Number: customer type: event: station: time: 
5, Corporate, Creation, Source corporate, 359.0503061335092
5, Corporate, Production started, CSA Corporate 2 0, 359.0503061335092
5, Corporate, Production complete, CSA Corporate 2 0, 543.5774837798758
7, Corporate, Creation, Source corporate, 540.2110152565949
7, Corporate, Production started, CSA Corporate 2 1, 540.2110152565949
7, Corporate, Production complete, CSA Corporate 2 1, 865.8594154327587
15, Corporate, Creation, Source corporate, 1321.1744764364755
15, Corporate, Production started, CSA Corporate 2 2, 1321.1744764364755
15, Corporate, Production complete, CSA Corporate 2 2, 1483.904716997822
21, Corporate, Creation, Source corporate, 1793.579071294307
21, Corporate, Production started, CSA Corporate 2 2, 1793.579071294307
21, Corporate, Production complete, CSA Corporate 2 2, 2004.8057154077435
24, Corporate, Creation, Source corporate, 1835.8826285379523
24, Corporate, Production started, CSA Corporate 2 3, 1835.8826285379523
24, Corporate, Production complete, CSA Corporate 2 3, 2171.1630032426774
25, Corporate, Creation, Source corporate, 2118.6241509436763
25, Corporate, Production started, CSA Corporate 2 4, 2118.6241509436763
25, Corporate, Production complete, CSA Corporate 2 4, 2372.2755605730263
35, Corporate, Creation, Source corporate, 3147.893433942794
35, Corporate, Production started, CSA Corporate 2 4, 3147.893433942794
35, Corporate, Production complete, CSA Corporate 2 4, 3333.754898850668
38, Corporate, Creation, Source corporate, 3458.9589719159358
38, Corporate, Production started, CSA Corporate 2 5, 3458.9589719159358
38, Corporate, Production complete, CSA Corporate 2 5, 3708.498350532291
41, Corporate, Creation, Source corporate, 3909.0262829820135
41, Corporate, Production started, CSA Corporate 2 5, 3909.0262829820135
41, Corporate, Production complete, CSA Corporate 2 5, 4168.741681042376
43, Corporate, Creation, Source corporate, 4098.821499621772
43, Corporate, Production started, CSA Corporate 2 6, 4098.821499621772
43, Corporate, Production complete, CSA Corporate 2 6, 4275.289317785665
46, Corporate, Creation, Source corporate, 4271.641118321995
46, Corporate, Production started, CSA Corporate 2 7, 4271.641118321995
46, Corporate, Production complete, CSA Corporate 2 7, 4522.423195238712
53, Corporate, Creation, Source corporate, 4907.961553907395
53, Corporate, Production started, CSA Corporate 2 7, 4907.961553907395
53, Corporate, Production complete, CSA Corporate 2 7, 5082.555750786966
54, Corporate, Creation, Source corporate, 5067.413465355943
54, Corporate, Production started, CSA Corporate 2 8, 5067.413465355943
54, Corporate, Production complete, CSA Corporate 2 8, 5271.102363049796
59, Corporate, Creation, Source corporate, 5872.9354100619385
59, Corporate, Production started, CSA Corporate 2 9, 5872.9354100619385
59, Corporate, Production complete, CSA Corporate 2 9, 6026.467888663497
60, Corporate, Creation, Source corporate, 5747.454796564012
60, Corporate, Production started, CSA Corporate 2 8, 5747.454796564012
60, Corporate, Production complete, CSA Corporate 2 8, 6061.330554768905
64, Corporate, Creation, Source corporate, 6783.462275622503
64, Corporate, Production started, CSA Corporate 2 9, 6783.462275622503
64, Corporate, Production complete, CSA Corporate 2 9, 6927.070899654002
66, Corporate, Creation, Source corporate, 6950.650401815333
66, Corporate, Production started, CSA Corporate 2 0, 6950.650401815333
66, Corporate, Production complete, CSA Corporate 2 0, 7131.426210867105
68, Corporate, Creation, Source corporate, 7357.091027983884
68, Corporate, Production started, CSA Corporate 2 1, 7357.091027983884
68, Corporate, Production complete, CSA Corporate 2 1, 7563.481531021728
72, Corporate, Creation, Source corporate, 7494.7724562537605
72, Corporate, Production started, CSA Corporate 2 0, 7494.7724562537605
72, Corporate, Production complete, CSA Corporate 2 0, 7834.8135544103225
75, Corporate, Creation, Source corporate, 8043.549473997159
75, Corporate, Production started, CSA Corporate 2 2, 8043.549473997159
75, Corporate, Production complete, CSA Corporate 2 2, 8149.387584263703
76, Corporate, Creation, Source corporate, 8018.047745066205
76, Corporate, Production started, CSA Corporate 2 1, 8018.047745066205
76, Corporate, Production complete, CSA Corporate 2 1, 8311.922849967168
78, Corporate, Creation, Source corporate, 8922.373308663186
78, Corporate, Production started, CSA Corporate 2 3, 8922.373308663186
78, Corporate, Production complete, CSA Corporate 2 3, 9053.863808616083
79, Corporate, Creation, Source corporate, 8949.280525477012
79, Corporate, Production started, CSA Corporate 2 2, 8949.280525477012
79, Corporate, Production complete, CSA Corporate 2 2, 9206.675016920066
81, Corporate, Creation, Source corporate, 9002.719657319865
81, Corporate, Production started, CSA Corporate 2 4, 9002.719657319865
81, Corporate, Production complete, CSA Corporate 2 4, 9319.785769730508
82, Corporate, Creation, Source corporate, 9295.908360004714
82, Corporate, Production started, CSA Corporate 2 5, 9295.908360004714
82, Corporate, Production complete, CSA Corporate 2 5, 9494.698884556592
83, Corporate, Creation, Source corporate, 9646.40853897894
83, Corporate, Production started, CSA Corporate 2 6, 9646.40853897894
83, Corporate, Production complete, CSA Corporate 2 6, 9862.035759229966
84, Corporate, Creation, Source corporate, 9719.542232810118
84, Corporate, Production started, CSA Corporate 2 2, 9719.542232810118
84, Corporate, Production complete, CSA Corporate 2 2, 9953.197478130789
85, Corporate, Creation, Source corporate, 9821.978463783607
